user_id,username
c0041165189a4ac3809b43d0431e9477,coachflb
e2b0f81e4a25477983edd6f092aa05c0,chl132152
4521d0c18d4443b2bc046610f77566b6,chl170223
596f3a0b32a04c80ba9fbbced558c336,chl160678
85c211d05ad34deca4066469f9d369ef,chl152148
81de4af3e6ac4749bd9c01fc7020a73e,chl163807
2d2ad68eb5eb4884b588fc7b09870aba,chl161455
1eb3026275b04d7d9d0be9dd1d828cd8,chl132052
f41a7f8f16ee4f4991772a6d6229d994,chl163563
1ab715644fe943fdb8c3c45ccb2075fb,chl132050
10031aa700bc49a596ca61d39cdd3a3e,chl132607
faed326ad53141d1b6065913078b3445,chl160036
39e05451a92f4284afc347db48f44c4d,chl153081
e724bec1e1e04f2486acbbac40bb69e0,chl131179
a55ca58c05be41b59369c88b784e1fbd,chl163810
7e3bff940d6241a89ae8da0016dda0cb,chl149969
5eb739a25730496e9839fbfa85439aa2,chl134695
ecd72f77ebb84f50ad2668618cb82939,chl152338
056d912d50654ddcbadee0673929ef48,chl170325
8b35357f8bff477196a6e076561b95e3,chl135202
e889ef334073423b909ee43b1c9dfa6c,chl132046
4c511ff673eb4edbb6f08827c5c191a0,chl131214
912d4fcfaa6e41fbb7e944ca0777221a,chl132585
53af9f28ec7d4a56985b3b9709a137b9,chl132614
fa386cc5aa294a7bb7598cffc73c2ebc,chl134534
9a599e644c904244b773ed14a0e3d01b,chl134365
ac66977d0f764f26976e6d733762b732,chl149964
72a4693d92934955aa91ea154ffd37fc,chl157184
3c7547a7adb34f99866e06b9f549c463,chl139740
6f66809f2829487c9bb74b9da6480e6f,chl159271
1233edec58f64f70b7dab5ba8f68a7aa,chl153353
c645eacb5dcb46fe818db8f70522bbed,chl157249
1a8731cb8c5c43eabd8273ef28d686a1,chl163195
8e67f8f534e141c9b8548a290d7a6f0b,chl135201
d33fe8685e6740a3805f27a72f40b5e9,chl131172
50c680237edb40bda16b52b21b693cd1,chl132617
782eb586fcd546309a3ae8b8a26d94ab,chl133126
d4474eeb88a9436491945ae10604848c,chl134136
111439115bcb4d23a16f81447d3ec3ad,chl152989
58d34268b71443378664ed5f1a21e16d,chl132615
01d87f71ce6f4e31b7cf1fc603aa9bed,chl163307
556bc43e904f41aa83912b59aa412644,chl152967
d6d707a8b9354b34baba70be95cfbe04,chl134707
1b0f0f954e2b4d1fb8daf20708d5ecd8,chl132044
f5bd939257294c4191a0aa35fa8a89f5,chl156856
f53c1181d8024da7882ad5cd8c0dbaa6,chl132674
85fcdcc9d13e4ee3b0a0c064a98f01cc,chl131113
7b59beff01ae4af3b682abc85f038cf0,chl139842
e448da1ac245416184efafb415d1f523,chl160010
38c2d0d4213b423fb49bae8eec46d390,chl157155
e5108a16f6ea4e598558d8d00af3620c,chl130606
76353c3121a245168653f6e5217b6885,chl165520
eaeec5d0dea9491b884958ffe83f2d0d,chl159810
ce1d2eb583c74be6a3cab621b183c43f,chl130632
70fe83a5c4d04739ab653a97f09dd94f,chl164393
0091d284e7bc4a20b70f58ad7f635d60,chl159709
91c2e1f4c43c465289ee62035146e862,chl131225
8cdd41bcc78a4c46a7c9054e038a21aa,chl131154
